mention_id,player,artist,song,release_date,mention_type,artist_tier,player_position,era,drop_type,effective_date,vader_compound,vader_pos,vader_neg,before_PTS_mean,before_AST_mean,before_REB_mean,before_PTS_std,before_AST_std,before_REB_std,before_n_games,after_1g_PTS_mean,after_1g_AST_mean,after_1g_REB_mean,after_1g_PTS_std,after_1g_AST_std,after_1g_REB_std,after_1g_n_games,after_10g_PTS_mean,after_10g_AST_mean,after_10g_REB_mean,after_10g_PTS_std,after_10g_AST_std,after_10g_REB_std,after_10g_n_games,after_30g_PTS_mean,after_30g_AST_mean,after_30g_REB_mean,after_30g_PTS_std,after_30g_AST_std,after_30g_REB_std,after_30g_n_games,after_season_PTS_mean,after_season_AST_mean,after_season_REB_mean,after_season_PTS_std,after_season_AST_std,after_season_REB_std,after_season_n_games,before_PTS_pace_adj,before_AST_pace_adj,before_REB_pace_adj,after_1g_PTS_pace_adj,after_1g_AST_pace_adj,after_1g_REB_pace_adj,after_10g_PTS_pace_adj,after_10g_AST_pace_adj,after_10g_REB_pace_adj,after_30g_PTS_pace_adj,after_30g_AST_pace_adj,after_30g_REB_pace_adj,after_season_PTS_pace_adj,after_season_AST_pace_adj,after_season_REB_pace_adj,delta_after_1g_PTS,delta_after_1g_PTS_adj,delta_after_1g_AST,delta_after_1g_AST_adj,delta_after_1g_REB,delta_after_1g_REB_adj,delta_after_10g_PTS,delta_after_10g_PTS_adj,delta_after_10g_AST,delta_after_10g_AST_adj,delta_after_10g_REB,delta_after_10g_REB_adj,delta_after_30g_PTS,delta_after_30g_PTS_adj,delta_after_30g_AST,delta_after_30g_AST_adj,delta_after_30g_REB,delta_after_30g_REB_adj,delta_after_season_PTS,delta_after_season_PTS_adj,delta_after_season_AST,delta_after_season_AST_adj,delta_after_season_REB,delta_after_season_REB_adj,zscore_after_30g_PTS,zscore_after_30g_AST,zscore_after_30g_REB,composite_delta_30g,weighted_impact
62,Scottie Pippen,Jay-Z,Song Cry,2001-09-11,neutral,3.0,SF,2000s,off_season,2001-10-30,0.3089,0.22,0.0,12.23,4.6,5.43,6.54,2.53,2.86,30,2.0,5.0,5.0,,,,1,9.8,5.9,5.8,7.58,2.88,2.62,10,9.5,5.9,5.2,5.79,3.18,2.54,30,10.63,5.85,5.18,5.77,3.05,2.61,62,13.2,4.97,5.86,2.16,5.4,5.4,10.58,6.37,6.26,10.26,6.37,5.61,11.48,6.32,5.59,-10.23,-11.04,0.4,0.43,-0.43,-0.46,-2.43,-2.62,1.3,1.4,0.37,0.4,-2.73,-2.94,1.3,1.4,-0.23,-0.25,-1.6,-1.72,1.25,1.35,-0.25,-0.27,-0.557,0.929,-0.362,-0.831,-2.493
63,Charles Barkley,Ice Cube,Check Yo Self,1992-11-17,neutral,2.5,PF,1990s,in_season,1992-11-17,0.0,0.0,0.0,24.1,3.57,11.2,7.49,2.18,3.64,30,10.0,4.0,8.0,,,,1,24.4,4.7,13.0,11.11,1.77,3.8,10,26.33,4.73,12.33,8.12,2.53,3.84,30,22.69,4.4,11.81,7.65,2.39,4.44,328,25.67,3.8,11.93,10.65,4.26,8.52,25.99,5.01,13.85,28.05,5.04,13.13,24.17,4.69,12.58,-14.1,-15.02,0.43,0.46,-3.2,-3.41,0.3,0.32,1.13,1.21,1.8,1.92,2.23,2.38,1.16,1.24,1.13,1.2,-1.41,-1.5,0.83,0.89,0.61,0.65,0.853,0.919,0.756,1.684,4.21
64,Reggie Miller,Jay-Z,99 Problems,2003-11-14,neutral,3.0,SG,2000s,in_season,2003-11-14,0.3875,0.208,0.0,9.53,2.77,2.63,4.38,1.83,1.88,30,11.0,4.0,1.0,,,,1,12.0,3.2,1.9,7.38,1.23,1.6,10,9.67,3.17,2.7,5.42,1.6,1.51,30,12.33,2.65,2.35,7.8,1.47,1.56,139,10.29,2.99,2.84,11.88,4.32,1.08,12.96,3.45,2.05,10.44,3.42,2.91,13.31,2.86,2.54,1.47,1.59,1.23,1.33,-1.63,-1.76,2.47,2.67,0.43,0.46,-0.73,-0.79,0.14,0.15,0.4,0.43,0.07,0.07,2.8,3.02,-0.12,-0.13,-0.28,-0.3,0.145,0.152,-0.023,0.21,0.63
65,John Stockton,Dr. Dre,The Next Episode,1999-11-16,neutral,3.0,PG,1990s,in_season,1999-11-16,0.25,0.182,0.0,11.63,7.57,2.53,4.3,2.43,1.74,30,17.0,11.0,2.0,,,,1,12.8,9.4,1.9,4.49,2.67,0.88,10,11.4,8.9,2.4,4.63,3.43,1.43,30,11.74,8.69,2.71,5.02,3.2,1.83,157,12.39,8.06,2.7,18.11,11.72,2.13,13.64,10.01,2.02,12.14,9.48,2.56,12.51,9.26,2.89,5.37,5.72,3.43,3.66,-0.53,-0.57,1.17,1.25,1.83,1.95,-0.63,-0.68,-0.23,-0.25,1.33,1.42,-0.13,-0.14,0.11,0.12,1.12,1.2,0.18,0.19,-0.237,1.05,-0.057,0.284,0.852
66,Karl Malone,Dr. Dre,Still D.R.E.,1999-11-16,neutral,3.0,PF,1990s,in_season,1999-11-16,0.3612,0.263,0.0,23.53,4.0,9.17,6.32,2.17,2.74,30,33.0,6.0,11.0,,,,1,27.6,4.0,10.6,7.44,2.54,2.12,10,26.93,3.9,9.97,5.99,2.09,2.33,30,24.48,4.11,8.89,7.13,2.02,2.94,156,25.07,4.26,9.77,35.15,6.39,11.72,29.4,4.26,11.29,28.69,4.15,10.62,26.08,4.38,9.47,9.47,10.08,2.0,2.13,1.83,1.95,4.07,4.33,0.0,0.0,1.43,1.52,3.4,3.62,-0.1,-0.11,0.8,0.85,0.95,1.01,0.11,0.12,-0.28,-0.3,1.367,-0.061,0.543,1.67,5.01
67,Grant Hill,Outkast,Ms. Jackson,2000-10-31,compliment,2.8,SF,2000s,in_season,2000-10-31,0.6486,0.371,0.0,23.77,4.8,6.8,8.54,1.95,2.48,30,9.0,10.0,5.0,,,,1,16.3,4.9,8.3,5.85,3.07,4.5,10,16.11,4.94,8.33,5.0,2.62,3.6,18,16.11,4.94,8.33,5.0,2.62,3.6,18,25.66,5.18,7.34,9.72,10.8,5.4,17.6,5.29,8.96,17.39,5.33,8.99,17.39,5.33,8.99,-14.77,-15.94,5.2,5.62,-1.8,-1.94,-7.47,-8.06,0.1,0.11,1.5,1.62,-7.66,-8.27,0.14,0.15,1.53,1.65,-7.66,-8.27,0.14,0.15,1.53,1.65,-1.768,-0.072,1.654,-2.768,-7.75
68,Chris Webber,DMX,Ruff Ryders Anthem,1998-05-12,neutral,2.6,PF,1990s,off_season,1999-02-05,0.4588,0.308,0.0,22.0,4.13,9.8,5.77,1.78,3.14,30,20.0,3.0,12.0,,,,1,22.1,3.9,14.1,3.87,1.79,3.38,10,19.8,3.97,12.93,5.8,2.16,3.34,30,19.98,4.12,12.98,5.36,2.07,3.73,42,23.44,4.4,10.44,21.31,3.2,12.78,23.54,4.15,15.02,21.09,4.23,13.77,21.28,4.39,13.83,-2.0,-2.13,-1.13,-1.2,2.2,2.34,0.1,0.1,-0.23,-0.25,4.3,4.58,-2.2,-2.35,-0.16,-0.17,3.13,3.33,-2.02,-2.16,-0.01,-0.01,3.18,3.39,-1.108,-0.104,2.048,0.008,0.021
69,Anfernee Hardaway,Tupac,Picture Me Rollin,1996-02-13,compliment,3.0,PG,1990s,in_season,1996-02-13,0.3089,0.184,0.0,21.4,7.2,4.07,6.91,3.56,1.96,30,15.0,5.0,3.0,,,,1,19.5,7.6,4.0,4.53,2.72,2.26,10,19.67,7.17,4.2,7.29,3.32,2.41,30,20.09,6.24,4.26,6.93,2.94,2.32,93,22.8,7.67,4.34,15.98,5.33,3.2,20.77,8.1,4.26,20.95,7.64,4.47,21.4,6.65,4.54,-6.4,-6.82,-2.2,-2.34,-1.07,-1.14,-1.9,-2.03,0.4,0.43,-0.07,-0.08,-1.73,-1.85,-0.03,-0.03,0.13,0.13,-1.31,-1.4,-0.96,-1.02,0.19,0.2,-0.901,-0.003,0.106,-0.71,-2.13
70,Kevin Johnson,Ice Cube,It Was a Good Day,1992-11-17,neutral,2.5,PG,1990s,in_season,1992-11-17,0.0,0.0,0.0,21.33,11.8,3.57,7.95,3.66,2.31,30,10.0,7.0,0.0,,,,1,13.8,7.2,1.6,6.91,2.74,1.07,10,14.97,7.07,1.9,6.67,2.39,1.45,30,18.37,8.8,2.34,7.38,3.69,1.67,116,22.72,12.57,3.8,10.65,7.46,0.0,14.7,7.67,1.7,15.95,7.53,2.02,19.57,9.37,2.49,-11.33,-12.07,-4.8,-5.11,-3.57,-3.8,-7.53,-8.02,-4.6,-4.9,-1.97,-2.1,-6.36,-6.77,-4.73,-5.04,-1.67,-1.78,-2.96,-3.15,-3.0,-3.2,-1.23,-1.31,-2.94,-3.64,-1.052,-4.754,-11.885
71,Hakeem Olajuwon,Notorious B.I.G.,Juicy,1994-09-13,compliment,3.0,C,1990s,off_season,1994-11-04,0.0772,0.157,0.134,28.33,3.7,11.77,6.87,1.88,3.21,30,19.0,0.0,8.0,,,,1,27.3,2.7,11.5,6.62,1.77,3.27,10,27.03,3.57,11.47,7.34,2.75,2.94,30,22.4,2.92,9.83,8.54,1.91,3.29,247,30.18,3.94,12.54,20.24,0.0,8.52,29.08,2.88,12.25,28.79,3.8,12.22,23.86,3.11,10.47,-9.33,-9.94,-3.7,-3.94,-3.77,-4.02,-1.03,-1.1,-1.0,-1.06,-0.27,-0.29,-1.3,-1.39,-0.13,-0.14,-0.3,-0.32,-5.93,-6.32,-0.78,-0.83,-1.94,-2.07,-0.71,-0.082,-0.167,-0.694,-2.082
72,David Robinson,Tupac,California Love,1996-02-13,neutral,3.0,C,1990s,in_season,1996-02-13,0.3182,0.204,0.0,25.2,3.13,12.83,7.25,1.7,3.55,30,22.0,5.0,17.0,,,,1,25.0,3.2,11.7,6.88,1.23,4.4,10,25.57,2.93,11.87,8.28,1.48,3.89,30,23.77,2.6,11.35,8.4,1.55,3.71,43,26.84,3.33,13.67,23.44,5.33,18.11,26.63,3.41,12.46,27.24,3.12,12.64,25.32,2.77,12.09,-3.2,-3.4,1.87,2.0,4.17,4.44,-0.2,-0.21,0.07,0.08,-1.13,-1.21,0.37,0.4,-0.2,-0.21,-0.96,-1.03,-1.43,-1.52,-0.53,-0.56,-1.48,-1.58,0.032,-0.133,-0.597,-0.212,-0.636
73,Alonzo Mourning,Jay-Z,Can I Get A...,1998-09-29,diss,3.0,C,1990s,off_season,1999-02-05,-0.6808,0.0,0.412,20.97,1.1,9.7,6.81,1.32,3.83,30,14.0,2.0,9.0,,,,1,19.4,1.0,10.4,8.38,1.05,2.84,10,20.17,1.6,11.07,6.8,1.45,4.09,30,20.09,1.61,11.02,6.36,1.36,3.86,46,22.34,1.17,10.33,14.91,2.13,9.59,20.67,1.07,11.08,21.49,1.7,11.79,21.4,1.72,11.74,-6.97,-7.43,0.9,0.96,-0.7,-0.74,-1.57,-1.67,-0.1,-0.1,0.7,0.75,-0.8,-0.85,0.5,0.53,1.37,1.46,-0.88,-0.94,0.51,0.55,1.32,1.41,-0.486,0.404,0.913,0.257,0.771
74,Latrell Sprewell,Nas,Hate Me Now,1999-04-06,diss,2.7,SG,1990s,in_season,1999-04-06,-0.743,0.0,0.412,18.33,3.07,4.4,7.66,1.8,1.81,30,6.0,3.0,5.0,,,,1,13.5,2.9,3.6,4.6,1.97,1.84,10,17.03,3.37,4.53,6.71,1.73,2.27,30,18.11,3.8,4.17,6.64,1.98,2.21,99,19.53,3.27,4.69,6.39,3.2,5.33,14.38,3.09,3.83,18.14,3.59,4.83,19.29,4.05,4.44,-12.33,-13.14,-0.07,-0.07,0.6,0.64,-4.83,-5.15,-0.17,-0.18,-0.8,-0.86,-1.3,-1.39,0.3,0.32,0.13,0.14,-0.22,-0.24,0.73,0.78,-0.23,-0.25,-0.71,0.251,0.112,-0.418,-1.129
75,Gary Payton,Snoop Dogg,Gin and Juice,1993-11-23,compliment,2.6,PG,1990s,in_season,1993-11-23,0.0,0.0,0.0,13.57,4.93,3.43,5.62,2.73,1.7,30,23.0,3.0,5.0,,,,1,16.9,5.8,3.4,6.71,2.44,1.78,10,16.6,6.4,3.67,5.55,2.11,1.95,30,19.66,6.97,3.9,6.19,2.68,2.21,319,14.46,5.25,3.65,24.5,3.2,5.33,18.0,6.18,3.62,17.68,6.82,3.91,20.94,7.42,4.15,9.43,10.04,-1.93,-2.05,1.57,1.68,3.33,3.54,0.87,0.93,-0.03,-0.03,3.03,3.22,1.47,1.57,0.24,0.26,6.09,6.48,2.04,2.17,0.47,0.5,1.201,1.159,0.185,1.837,4.776
76,Mitch Richmond,Too Short,Gettin It,1996-04-30,neutral,1.8,SG,1990s,off_season,1996-11-01,0.0,0.0,0.0,22.53,3.13,3.43,6.78,2.24,1.87,30,14.0,3.0,5.0,,,,1,22.2,3.8,4.2,7.54,1.62,1.03,10,23.23,3.57,3.77,7.54,1.99,1.7,30,25.86,4.17,3.94,7.93,2.48,2.45,81,24.0,3.33,3.65,14.91,3.2,5.33,23.65,4.05,4.47,24.75,3.8,4.02,27.55,4.44,4.2,-8.53,-9.09,-0.13,-0.13,1.57,1.68,-0.33,-0.35,0.67,0.72,0.77,0.82,0.7,0.75,0.44,0.47,0.34,0.37,3.33,3.55,1.04,1.11,0.51,0.55,0.177,0.36,0.252,0.552,0.994
77,Muggsy Bogues,Method Man,All I Need,1994-11-15,neutral,2.4,PG,1990s,in_season,1994-11-15,0.5927,0.278,0.0,12.27,9.5,4.0,4.72,3.88,2.15,30,6.0,11.0,3.0,,,,1,9.2,7.9,3.3,4.37,4.46,2.31,10,11.27,9.1,3.3,4.65,4.2,2.04,30,10.32,8.19,3.11,5.27,3.98,2.03,79,13.07,10.12,4.26,6.39,11.72,3.2,9.8,8.42,3.52,12.01,9.69,3.52,10.99,8.72,3.31,-6.27,-6.68,1.5,1.6,-1.0,-1.06,-3.07,-3.27,-1.6,-1.7,-0.7,-0.74,-1.0,-1.06,-0.4,-0.43,-0.7,-0.74,-1.95,-2.08,-1.31,-1.4,-0.89,-0.95,-0.573,-0.293,-0.421,-0.775,-1.86
78,Shawn Kemp,Sir Mix-a-Lot,Baby Got Back,1992-05-07,compliment,2.0,PF,1990s,off_season,1992-11-06,0.0,0.0,0.0,15.67,1.17,11.37,6.23,1.21,4.33,30,29.0,2.0,20.0,,,,1,20.6,1.2,10.4,3.89,1.14,4.2,10,18.7,1.6,10.5,4.98,1.65,3.82,30,17.79,1.99,10.68,5.78,1.57,3.56,78,16.69,1.25,12.11,30.89,2.13,21.31,21.94,1.28,11.08,19.92,1.7,11.19,18.95,2.12,11.38,13.33,14.2,0.83,0.88,8.63,9.2,4.93,5.25,0.03,0.03,-0.97,-1.03,3.03,3.23,0.43,0.45,-0.87,-0.92,2.12,2.26,0.82,0.87,-0.69,-0.73,1.205,0.346,-0.531,1.151,2.302
79,Nick Van Exel,Snoop Dogg,Murder Was the Case,1994-10-18,neutral,2.6,PG,1990s,in_season,1994-10-18,0.2057,0.154,0.0,15.17,6.73,3.2,7.9,2.92,2.07,30,35.0,4.0,2.0,,,,1,16.2,7.0,1.7,10.08,2.94,1.25,10,16.9,8.0,2.8,8.67,3.55,1.88,30,15.89,7.59,2.62,7.59,3.38,1.73,154,16.16,7.17,3.41,37.28,4.26,2.13,17.26,7.46,1.81,18.0,8.52,2.98,16.93,8.09,2.79,19.83,21.12,-2.73,-2.91,-1.2,-1.28,1.03,1.1,0.27,0.29,-1.5,-1.6,1.73,1.84,1.27,1.35,-0.4,-0.43,0.72,0.77,0.86,0.92,-0.58,-0.62,0.629,0.999,-0.233,1.012,2.631
80,Glen Rice,2Pac,How Do U Want It,1996-06-04,neutral,3.0,SG,1990s,off_season,1996-11-08,0.0,0.0,0.0,19.5,2.93,4.37,6.65,1.96,2.65,30,7.0,3.0,5.0,,,,1,19.3,2.2,2.6,6.9,1.55,1.78,10,22.27,2.13,3.9,7.63,1.66,2.11,30,26.77,2.03,4.03,8.52,1.51,1.95,79,20.77,3.12,4.66,7.46,3.2,5.33,20.56,2.34,2.77,23.72,2.27,4.15,28.52,2.16,4.29,-12.5,-13.31,0.07,0.08,0.63,0.67,-0.2,-0.21,-0.73,-0.78,-1.77,-1.89,2.77,2.95,-0.8,-0.85,-0.47,-0.51,7.27,7.75,-0.9,-0.96,-0.34,-0.37,1.089,-0.598,-0.282,0.772,2.316
81,LeBron James,Jay-Z,Crown,2017-06-30,compliment,3.0,SF,2010s,off_season,2017-10-17,0.0,0.0,0.0,27.53,9.1,9.57,6.55,3.19,3.37,30,29.0,9.0,16.0,,,,1,28.8,9.1,7.2,11.54,3.51,4.39,10,28.1,9.13,8.43,7.8,3.36,4.16,30,27.45,9.11,8.65,7.98,3.5,3.35,82,27.53,9.1,9.57,29.0,9.0,16.0,28.8,9.1,7.2,28.1,9.13,8.43,27.45,9.11,8.65,1.47,1.47,-0.1,-0.1,6.43,6.43,1.27,1.27,0.0,0.0,-2.37,-2.37,0.57,0.57,0.03,0.03,-1.14,-1.14,-0.08,-0.08,0.01,0.01,-0.92,-0.92,-0.088,0.059,-1.44,-0.105,-0.315
82,Kevin Durant,Drake,The Language,2013-09-24,compliment,2.8,SF,2010s,in_season,2013-09-24,0.0,0.0,0.0,26.83,5.07,8.67,6.32,2.66,2.68,30,42.0,1.0,6.0,,,,1,29.6,5.2,7.0,9.17,3.68,2.94,10,28.5,4.83,8.33,6.75,2.87,2.77,30,27.92,5.1,7.55,7.66,2.46,3.18,310,26.83,5.07,8.67,42.0,1.0,6.0,29.6,5.2,7.0,28.5,4.83,8.33,27.92,5.1,7.55,15.17,15.17,-4.07,-4.07,-2.67,-2.67,2.77,2.77,0.13,0.13,-1.67,-1.67,1.67,1.67,-0.24,-0.24,-0.34,-0.34,1.09,1.09,0.03,0.03,-1.12,-1.12,0.198,-0.182,-0.733,0.494,1.383
83,Kobe Bryant,Jay-Z,Dirt Off Your Shoulder,2003-11-14,compliment,3.0,SG,2000s,in_season,2003-11-14,0.5216,0.421,0.0,26.83,4.9,6.3,9.85,2.04,2.47,30,16.0,1.0,3.0,,,,1,21.1,3.7,3.3,5.38,1.77,1.42,10,21.73,4.53,4.8,8.15,2.1,2.33,30,26.24,5.13,5.42,8.76,2.67,2.67,361,28.97,5.29,6.8,17.27,1.08,3.24,22.78,3.99,3.56,23.46,4.89,5.18,28.33,5.54,5.85,-10.83,-11.7,-3.9,-4.21,-3.3,-3.56,-5.73,-6.19,-1.2,-1.3,-3.0,-3.24,-5.1,-5.51,-0.37,-0.4,-1.5,-1.62,-0.59,-0.64,0.23,0.25,-0.88,-0.95,-1.141,-0.512,-1.817,-2.81,-8.43
84,Dwyane Wade,Lil Wayne,Got Money,2008-06-10,compliment,2.5,SG,2000s,off_season,2008-10-29,0.4939,0.412,0.0,24.87,7.17,4.13,9.66,2.42,2.18,30,26.0,9.0,7.0,,,,1,27.9,7.3,5.2,5.63,1.95,2.53,10,28.67,7.03,5.07,8.63,2.86,2.02,30,20.2,4.96,4.36,9.98,2.82,2.28,280,26.85,7.74,4.46,28.07,9.72,7.56,30.12,7.88,5.61,30.95,7.59,5.47,21.81,5.35,4.71,1.13,1.22,1.83,1.98,2.87,3.1,3.03,3.27,0.13,0.14,1.07,1.15,3.8,4.1,-0.14,-0.15,0.94,1.01,-4.67,-5.04,-2.21,-2.39,0.23,0.25,1.042,-0.312,0.975,1.898,4.745
85,Carmelo Anthony,Jay-Z,Empire State of Mind,2009-09-08,compliment,3.0,SF,2000s,off_season,2009-10-28,0.0,0.0,0.0,24.17,2.87,6.67,7.76,1.83,2.92,30,30.0,5.0,8.0,,,,1,29.7,2.8,6.3,7.32,1.32,1.95,10,30.37,3.33,6.17,8.06,1.65,2.1,30,28.16,3.22,6.58,7.62,1.71,2.84,69,26.09,3.1,7.2,32.39,5.4,8.64,32.06,3.02,6.8,32.79,3.6,6.66,30.4,3.48,7.1,5.83,6.3,2.13,2.3,1.33,1.44,5.53,5.97,-0.07,-0.08,-0.37,-0.4,6.2,6.7,0.46,0.5,-0.5,-0.54,3.99,4.31,0.35,0.38,-0.09,-0.1,1.633,0.208,-0.67,2.668,8.004
86,Blake Griffin,Kendrick Lamar,Swimming Pools,2012-07-31,compliment,2.9,PF,2010s,off_season,2012-10-31,0.0772,0.115,0.0,20.13,3.47,10.63,6.1,1.72,2.87,30,11.0,2.0,7.0,,,,1,17.2,3.3,9.4,5.47,1.7,2.63,10,18.17,3.1,8.87,5.37,1.63,2.84,30,18.0,3.74,8.28,5.6,2.22,2.96,80,20.13,3.47,10.63,11.0,2.0,7.0,17.2,3.3,9.4,18.17,3.1,8.87,18.0,3.74,8.28,-9.13,-9.13,-1.47,-1.47,-3.63,-3.63,-2.93,-2.93,-0.17,-0.17,-1.23,-1.23,-1.96,-1.96,-0.37,-0.37,-1.76,-1.76,-2.13,-2.13,0.27,0.27,-2.35,-2.35,-0.747,-0.298,-1.987,-1.423,-4.127
87,Derrick Rose,Kanye West,Gorgeous,2010-11-22,compliment,2.9,PG,2010s,in_season,2010-11-22,-0.1027,0.0,0.135,23.3,7.47,3.63,8.16,3.16,1.77,30,30.0,8.0,5.0,,,,1,25.0,7.8,5.0,7.77,1.81,3.2,10,24.47,7.83,5.07,7.37,2.87,3.0,30,23.19,7.39,3.81,8.16,3.13,2.38,119,23.3,7.47,3.63,30.0,8.0,5.0,25.0,7.8,5.0,24.47,7.83,5.07,23.19,7.39,3.81,6.7,6.7,0.53,0.53,1.37,1.37,1.7,1.7,0.33,0.33,1.37,1.37,1.17,1.17,0.36,0.36,1.44,1.44,-0.11,-0.11,-0.08,-0.08,0.18,0.18,0.068,0.353,0.838,1.008,2.923
88,Paul George,Meek Mill,Rosé Red,2018-11-30,neutral,2.1,SF,2010s,in_season,2018-11-30,0.2732,0.244,0.163,23.43,3.83,7.3,6.8,1.91,3.08,30,20.0,3.0,5.0,,,,1,29.1,4.5,8.1,10.08,1.72,3.81,10,30.27,3.83,8.13,8.16,2.02,3.45,30,25.89,3.96,7.08,9.46,2.12,3.21,105,23.43,3.83,7.3,20.0,3.0,5.0,29.1,4.5,8.1,30.27,3.83,8.13,25.89,3.96,7.08,-3.43,-3.43,-0.83,-0.83,-2.3,-2.3,5.67,5.67,0.67,0.67,0.8,0.8,6.84,6.84,0.0,0.0,0.83,0.83,2.46,2.46,0.13,0.13,-0.22,-0.22,1.545,0.032,0.3,2.985,6.268
89,Victor Oladipo,J. Cole,Love Yourz,2014-12-09,compliment,2.6,SG,2010s,in_season,2014-12-09,-0.1027,0.0,0.149,14.17,4.0,3.63,5.05,2.45,2.04,30,17.0,3.0,6.0,,,,1,13.1,4.3,3.7,6.38,2.16,1.57,10,17.47,3.93,4.13,6.41,1.7,2.26,30,18.56,3.94,4.79,7.51,2.23,2.47,308,14.17,4.0,3.63,17.0,3.0,6.0,13.1,4.3,3.7,17.47,3.93,4.13,18.56,3.94,4.79,2.83,2.83,-1.0,-1.0,2.37,2.37,-1.07,-1.07,0.3,0.3,0.07,0.07,3.3,3.3,-0.07,-0.07,0.5,0.5,4.39,4.39,-0.06,-0.06,1.16,1.16,0.623,-0.031,0.008,1.449,3.767
90,Kawhi Leonard,Drake,In My Feelings,2018-06-29,neutral,2.8,SF,2010s,off_season,2018-10-17,0.0,0.0,0.0,22.3,3.47,5.5,8.24,1.76,2.91,30,24.0,2.0,12.0,,,,1,24.0,3.1,7.7,6.82,1.2,2.67,10,27.3,2.83,8.23,7.16,1.46,2.71,30,26.6,3.32,7.32,7.25,1.66,2.88,60,22.3,3.47,5.5,24.0,2.0,12.0,24.0,3.1,7.7,27.3,2.83,8.23,26.6,3.32,7.32,1.7,1.7,-1.47,-1.47,6.5,6.5,1.7,1.7,-0.37,-0.37,2.2,2.2,5.0,5.0,-0.64,-0.64,2.73,2.73,4.3,4.3,-0.15,-0.15,1.82,1.82,1.066,-0.539,1.977,2.627,7.356
92,Jayson Tatum,Drake,What's Next,2021-03-05,compliment,2.8,SF,2020s,in_season,2021-03-05,0.5994,0.281,0.0,24.77,4.53,7.07,7.75,2.65,2.55,30,31.0,3.0,5.0,,,,1,26.3,4.2,6.1,6.45,1.48,1.52,10,27.7,4.3,7.53,11.18,1.95,2.57,30,28.36,4.45,8.26,9.08,2.07,2.98,183,23.83,4.36,6.8,29.82,2.89,4.81,25.3,4.04,5.87,26.65,4.14,7.24,27.28,4.28,7.95,6.23,5.99,-1.53,-1.47,-2.07,-1.99,1.53,1.47,-0.33,-0.32,-0.97,-0.93,2.93,2.82,-0.23,-0.22,0.46,0.44,3.59,3.45,-0.08,-0.08,1.19,1.15,0.495,-0.419,0.199,1.194,3.343
93,Jaylen Brown,J. Cole,KOD,2018-04-20,neutral,2.6,SG,2010s,off_season,2018-10-16,0.2732,0.174,0.0,14.87,1.97,4.03,6.7,1.25,1.97,30,12.0,2.0,5.0,,,,1,12.0,1.4,4.6,4.69,1.17,1.43,10,11.43,1.4,4.07,6.08,1.16,1.8,30,13.03,1.35,4.23,6.54,1.19,2.11,74,14.87,1.97,4.03,12.0,2.0,5.0,12.0,1.4,4.6,11.43,1.4,4.07,13.03,1.35,4.23,-2.87,-2.87,0.03,0.03,0.97,0.97,-2.87,-2.87,-0.57,-0.57,0.57,0.57,-3.44,-3.44,-0.57,-0.57,0.04,0.04,-1.84,-1.84,-0.62,-0.62,0.2,0.2,-1.132,-0.477,-0.398,-1.535,-3.991
94,Khris Middleton,Big Sean,Bounce Back,2017-02-03,neutral,2.1,SF,2010s,in_season,2017-02-03,0.0,0.0,0.0,18.97,4.5,4.07,7.58,2.74,2.6,30,5.0,2.0,2.0,,,,1,13.6,4.2,3.5,6.87,3.26,1.78,10,14.7,3.5,4.4,6.43,2.32,2.4,30,19.39,4.38,5.66,6.96,2.26,2.6,318,18.97,4.5,4.07,5.0,2.0,2.0,13.6,4.2,3.5,14.7,3.5,4.4,19.39,4.38,5.66,-13.97,-13.97,-2.5,-2.5,-2.07,-2.07,-5.37,-5.37,-0.3,-0.3,-0.57,-0.57,-4.27,-4.27,-1.0,-1.0,0.33,0.33,0.42,0.42,-0.12,-0.12,1.59,1.59,-1.348,-0.861,-0.142,-1.909,-4.009
95,Fred VanVleet,Drake,Chicago Freestyle,2020-05-01,compliment,2.8,PG,2020s,off_season,2020-08-01,-0.1531,0.0,0.151,17.07,6.2,3.67,6.78,3.18,2.11,30,13.0,11.0,5.0,,,,1,17.6,6.5,4.0,9.26,2.72,1.25,10,20.13,6.47,4.23,10.88,2.43,1.81,30,19.41,6.34,4.19,9.35,2.65,1.95,58,16.42,5.96,3.53,12.51,10.58,4.81,16.93,6.25,3.85,19.37,6.22,4.07,18.67,6.1,4.03,-4.07,-3.91,4.8,4.62,1.33,1.28,0.53,0.51,0.3,0.29,0.33,0.32,3.06,2.95,0.27,0.26,0.56,0.54,2.34,2.25,0.14,0.14,0.52,0.5,0.536,0.242,0.36,1.42,3.976
97,Ja Morant,Lil Baby,Days Of Our Lives,2021-06-04,compliment,2.3,PG,2020s,off_season,2021-10-20,0.0,0.0,0.0,19.13,7.3,4.67,9.2,2.6,1.9,30,37.0,6.0,6.0,,,,1,26.0,7.2,5.6,9.38,1.99,2.07,10,24.87,6.7,5.7,9.05,2.18,2.59,30,26.78,7.43,5.78,8.9,2.82,2.59,118,18.4,7.02,4.49,35.6,5.77,5.77,25.01,6.93,5.39,23.93,6.45,5.48,25.76,7.15,5.56,17.87,17.2,-1.3,-1.25,1.33,1.28,6.87,6.61,-0.1,-0.09,0.93,0.9,5.74,5.53,-0.6,-0.57,1.03,0.99,7.65,7.36,0.13,0.13,1.11,1.07,1.335,-0.901,1.085,2.338,5.377
